epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1578.55,1.11095,0.51502,0.79538,0.91971,0.3811,0.64132,0.41432,1.46446,0.69621,0.80645,0.0011024,0.0011024,0.0011024
138,1591.53,1.11943,0.52485,0.79685,0.91287,0.37826,0.6428,0.41777,1.48982,0.70773,0.81261,0.0010958,0.0010958,0.0010958
139,1601.38,1.1187,0.52252,0.79802,0.92186,0.38199,0.64577,0.4144,1.48327,0.73493,0.81255,0.0010892,0.0010892,0.0010892
140,1611.9,1.1505,0.53791,0.79867,0.91237,0.37805,0.63751,0.40352,1.51159,0.72916,0.81438,0.0010826,0.0010826,0.0010826
141,1622.7,1.12631,0.52894,0.79763,0.91054,0.37729,0.6322,0.4117,1.46179,0.70328,0.80799,0.001076,0.001076,0.001076
142,1635.74,1.12798,0.5151,0.79469,0.91158,0.37773,0.6334,0.40579,1.49536,0.72579,0.81224,0.0010694,0.0010694,0.0010694
143,1646.02,1.12188,0.50774,0.79823,0.91717,0.38004,0.63797,0.41433,1.47162,0.72658,0.80796,0.0010628,0.0010628,0.0010628
144,1656.53,1.11724,0.50391,0.79686,0.90781,0.37617,0.63274,0.40379,1.54546,0.74076,0.81261,0.0010562,0.0010562,0.0010562
145,1667.56,1.14682,0.52485,0.79459,0.91387,0.37868,0.64029,0.42057,1.46773,0.6881,0.80649,0.0010496,0.0010496,0.0010496
146,1678.87,1.14526,0.52412,0.79781,0.91602,0.37957,0.64231,0.42055,1.47323,0.71892,0.80924,0.001043,0.001043,0.001043
147,1690.19,1.1572,0.51735,0.79459,0.91738,0.38013,0.64041,0.4133,1.50389,0.69954,0.80629,0.0010364,0.0010364,0.0010364
148,1700.9,1.11593,0.51127,0.7977,0.91122,0.37758,0.63408,0.40449,1.49227,0.77537,0.81116,0.0010298,0.0010298,0.0010298
149,1712.37,1.12909,0.50714,0.79662,0.91477,0.37905,0.63819,0.41318,1.46908,0.69778,0.80636,0.0010232,0.0010232,0.0010232
150,1722.41,1.14991,0.53087,0.79758,0.91677,0.37988,0.64151,0.42013,1.46249,0.70596,0.80932,0.0010166,0.0010166,0.0010166
151,1732.39,1.09733,0.49659,0.79659,0.89111,0.36924,0.61328,0.39576,1.47682,0.74141,0.81245,0.00101,0.00101,0.00101
152,1741.75,1.11194,0.50541,0.79517,0.91247,0.3781,0.64015,0.40725,1.5209,0.78957,0.81722,0.0010034,0.0010034,0.0010034
153,1752.68,1.09158,0.52714,0.79541,0.91925,0.3809,0.64551,0.42283,1.46945,0.68757,0.80937,0.0009968,0.0009968,0.0009968
154,1764.42,1.0996,0.51465,0.79429,0.90179,0.37367,0.63026,0.40911,1.48795,0.77362,0.81212,0.0009902,0.0009902,0.0009902
155,1774.87,1.12604,0.53348,0.79737,0.91344,0.3785,0.63776,0.41298,1.4665,0.68906,0.80651,0.0009836,0.0009836,0.0009836
156,1785.61,1.11573,0.52723,0.79566,0.90272,0.37406,0.63159,0.40371,1.48393,0.78681,0.81325,0.000977,0.000977,0.000977
157,1795.64,1.11878,0.51999,0.79582,0.90405,0.37461,0.62992,0.41162,1.47903,0.75527,0.81077,0.0009704,0.0009704,0.0009704
158,1806.59,1.09001,0.50926,0.79401,0.90355,0.3744,0.62844,0.40844,1.47627,0.77192,0.81193,0.0009638,0.0009638,0.0009638
159,1817.03,1.08455,0.49587,0.7929,0.90297,0.37416,0.62837,0.40482,1.48662,0.74674,0.81185,0.0009572,0.0009572,0.0009572
160,1827.19,1.08716,0.50038,0.7948,0.9119,0.37786,0.63423,0.40947,1.46924,0.71081,0.80866,0.0009506,0.0009506,0.0009506
161,1837.73,1.09679,0.5217,0.79624,0.92513,0.38334,0.6494,0.4285,1.44552,0.66729,0.80673,0.000944,0.000944,0.000944
162,1848.21,1.09809,0.5149,0.79337,0.9205,0.38142,0.64826,0.43045,1.44722,0.67635,0.80565,0.0009374,0.0009374,0.0009374
163,1858.03,1.09107,0.50024,0.7957,0.91832,0.38052,0.64527,0.42572,1.45282,0.66751,0.80872,0.0009308,0.0009308,0.0009308
164,1868.43,1.08639,0.49882,0.79625,0.90943,0.37683,0.63943,0.41973,1.46103,0.74051,0.81051,0.0009242,0.0009242,0.0009242
165,1879.43,1.09595,0.50959,0.79574,0.91376,0.37863,0.64128,0.4176,1.46296,0.69909,0.80813,0.0009176,0.0009176,0.0009176
166,1891.51,1.07745,0.48937,0.79251,0.92022,0.3813,0.64887,0.42974,1.46343,0.73139,0.80952,0.000911,0.000911,0.000911
167,1902.27,1.09761,0.49613,0.79368,0.92527,0.3834,0.65086,0.42492,1.45699,0.70302,0.80924,0.0009044,0.0009044,0.0009044
168,1914.29,1.07591,0.50472,0.79634,0.91785,0.38032,0.64639,0.42672,1.43777,0.6848,0.80566,0.0008978,0.0008978,0.0008978
169,1926.36,1.09592,0.50105,0.78961,0.91613,0.37961,0.64489,0.4181,1.48344,0.7235,0.81123,0.0008912,0.0008912,0.0008912
170,1937.34,1.10391,0.5075,0.79306,0.92373,0.38276,0.65056,0.42938,1.45589,0.68787,0.80867,0.0008846,0.0008846,0.0008846
171,1947.98,1.06552,0.48495,0.79164,0.89946,0.37271,0.62944,0.4113,1.4871,0.7741,0.81371,0.000878,0.000878,0.000878
172,1959.74,1.08256,0.49508,0.79509,0.90656,0.37565,0.63129,0.41578,1.45078,0.74444,0.8079,0.0008714,0.0008714,0.0008714
173,1971.16,1.08381,0.49478,0.79544,0.91616,0.37963,0.63922,0.4167,1.46668,0.73457,0.80959,0.0008648,0.0008648,0.0008648
174,1982.36,1.09681,0.50621,0.79446,0.92692,0.38408,0.65051,0.43666,1.42589,0.69046,0.80363,0.0008582,0.0008582,0.0008582
175,1993.76,1.06088,0.48463,0.79377,0.92692,0.38408,0.65028,0.42089,1.47441,0.71636,0.80985,0.0008516,0.0008516,0.0008516
