epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1182.65,0.97055,0.46528,0.79164,0.8851,0.5672,0.73132,0.56929,0.88983,0.48493,0.78454,0.0014324,0.0014324,0.0014324
88,1197.35,0.98946,0.47754,0.79149,0.88989,0.56565,0.72628,0.55886,0.90284,0.48315,0.78529,0.0014258,0.0014258,0.0014258
89,1212.06,0.97816,0.45513,0.79233,0.89097,0.56621,0.71742,0.55258,0.90287,0.51846,0.78517,0.0014192,0.0014192,0.0014192
90,1224.34,0.95426,0.45853,0.7909,0.89945,0.56905,0.73531,0.56917,0.8982,0.47213,0.7843,0.0014126,0.0014126,0.0014126
91,1235.8,0.94689,0.44206,0.78996,0.89411,0.56928,0.73228,0.56489,0.90406,0.47829,0.78538,0.001406,0.001406,0.001406
92,1247.96,0.93562,0.44234,0.78727,0.89158,0.56855,0.7328,0.56397,0.8959,0.49461,0.78435,0.0013994,0.0013994,0.0013994
93,1263.12,0.94787,0.45591,0.79042,0.88971,0.5667,0.71563,0.54272,0.92942,0.52753,0.78521,0.0013928,0.0013928,0.0013928
94,1277,0.96686,0.46392,0.78875,0.89487,0.56585,0.70618,0.54114,0.93046,0.48232,0.78437,0.0013862,0.0013862,0.0013862
95,1290.18,0.96459,0.45123,0.78758,0.89599,0.56868,0.72497,0.56099,0.90247,0.46828,0.78466,0.0013796,0.0013796,0.0013796
96,1306.41,0.9364,0.45016,0.78976,0.88854,0.56327,0.72379,0.55314,0.90672,0.48288,0.78398,0.001373,0.001373,0.001373
97,1321.4,0.96152,0.45553,0.78875,0.89077,0.56555,0.70144,0.53565,0.90895,0.5229,0.78415,0.0013664,0.0013664,0.0013664
98,1336.21,0.93215,0.44664,0.78787,0.89012,0.56472,0.71109,0.55018,0.87876,0.53243,0.78315,0.0013598,0.0013598,0.0013598
99,1351.34,0.93905,0.44668,0.78635,0.89243,0.56509,0.72213,0.56051,0.88683,0.50582,0.78272,0.0013532,0.0013532,0.0013532
100,1366.01,0.94468,0.45216,0.78677,0.90468,0.56426,0.73303,0.56655,0.90503,0.48182,0.78361,0.0013466,0.0013466,0.0013466
101,1381.58,0.96367,0.44825,0.78812,0.8931,0.5667,0.73365,0.56383,0.89164,0.48321,0.78376,0.00134,0.00134,0.00134
102,1392.9,1.00309,0.46952,0.7896,0.89731,0.57136,0.73934,0.56224,0.93471,0.48867,0.78355,0.0013334,0.0013334,0.0013334
103,1405.65,0.98913,0.46019,0.78994,0.90032,0.56885,0.73528,0.5675,0.89883,0.47299,0.78373,0.0013268,0.0013268,0.0013268
104,1419.25,0.99593,0.46566,0.79006,0.89526,0.57017,0.73649,0.57249,0.87462,0.47346,0.78237,0.0013202,0.0013202,0.0013202
105,1432.01,0.9288,0.43663,0.78584,0.89578,0.56852,0.73019,0.5689,0.87875,0.48556,0.78198,0.0013136,0.0013136,0.0013136
106,1445.57,0.94108,0.43171,0.78314,0.88668,0.56614,0.72218,0.54723,0.90907,0.52827,0.78288,0.001307,0.001307,0.001307
107,1460.45,0.9838,0.46272,0.78969,0.89216,0.56783,0.72583,0.53815,0.99533,0.4996,0.78523,0.0013004,0.0013004,0.0013004
108,1474.54,1.05286,0.47925,0.79221,0.89608,0.56644,0.71536,0.53841,0.9487,0.51985,0.78499,0.0012938,0.0012938,0.0012938
109,1487.75,1.0197,0.47712,0.79287,0.90124,0.56215,0.72947,0.5638,0.88408,0.46969,0.78383,0.0012872,0.0012872,0.0012872
110,1500.77,0.95663,0.44666,0.78649,0.888,0.56456,0.73324,0.56809,0.89163,0.48959,0.78288,0.0012806,0.0012806,0.0012806
111,1511.52,0.92624,0.44225,0.78624,0.89925,0.56423,0.73719,0.57213,0.87252,0.46513,0.78192,0.001274,0.001274,0.001274
112,1522.61,0.91527,0.44572,0.78461,0.89225,0.56479,0.7283,0.56179,0.89415,0.46491,0.78364,0.0012674,0.0012674,0.0012674
113,1536.11,0.92718,0.43866,0.78547,0.90591,0.56248,0.72887,0.56708,0.88063,0.45748,0.78246,0.0012608,0.0012608,0.0012608
114,1548.86,0.9456,0.44804,0.78699,0.889,0.56575,0.72146,0.56505,0.87484,0.50018,0.78225,0.0012542,0.0012542,0.0012542
115,1561.28,0.95318,0.44517,0.78608,0.89384,0.56789,0.72904,0.56997,0.87241,0.48933,0.78188,0.0012476,0.0012476,0.0012476
116,1574.54,0.928,0.44942,0.78648,0.89073,0.56703,0.7359,0.56547,0.90408,0.4725,0.78275,0.001241,0.001241,0.001241
117,1586.11,0.91225,0.44002,0.78571,0.88961,0.56542,0.71541,0.55356,0.88029,0.52871,0.78197,0.0012344,0.0012344,0.0012344
118,1597.54,0.91289,0.44021,0.78796,0.8939,0.56717,0.73879,0.57077,0.86564,0.46867,0.78194,0.0012278,0.0012278,0.0012278
119,1608.76,0.94549,0.45088,0.78732,0.88855,0.56446,0.72175,0.56419,0.85508,0.47194,0.78141,0.0012212,0.0012212,0.0012212
120,1619.85,0.93932,0.45315,0.78718,0.89043,0.56703,0.73935,0.57741,0.87698,0.51435,0.78169,0.0012146,0.0012146,0.0012146
121,1632.28,0.93026,0.44635,0.78448,0.89553,0.56785,0.72681,0.56086,0.88358,0.53705,0.78199,0.001208,0.001208,0.001208
122,1644.34,0.94992,0.45209,0.78813,0.90628,0.57004,0.7277,0.56684,0.86056,0.48106,0.78105,0.0012014,0.0012014,0.0012014
123,1657.57,0.92601,0.44669,0.78779,0.89581,0.5701,0.73061,0.55926,0.88751,0.47121,0.78202,0.0011948,0.0011948,0.0011948
124,1670.15,0.93555,0.43962,0.78511,0.89264,0.57132,0.73513,0.55493,0.95089,0.51102,0.78444,0.0011882,0.0011882,0.0011882
125,1683.81,0.96259,0.46799,0.78939,0.89859,0.57502,0.73427,0.5641,0.88784,0.48291,0.7832,0.0011816,0.0011816,0.0011816
126,1697.54,0.95623,0.45289,0.78818,0.90186,0.57393,0.72888,0.55438,0.87539,0.4769,0.7826,0.001175,0.001175,0.001175
127,1711.66,0.90162,0.4383,0.78681,0.89507,0.56809,0.7211,0.55751,0.86505,0.46979,0.78124,0.0011684,0.0011684,0.0011684
128,1725.13,0.94401,0.45648,0.78921,0.89435,0.56971,0.72316,0.55962,0.88253,0.5023,0.78108,0.0011618,0.0011618,0.0011618
129,1739.18,0.94589,0.45332,0.78766,0.90276,0.57333,0.71252,0.53936,0.94121,0.52279,0.78386,0.0011552,0.0011552,0.0011552
130,1750.81,0.91799,0.44192,0.78789,0.89172,0.56885,0.72609,0.56736,0.87202,0.49325,0.78115,0.0011486,0.0011486,0.0011486
131,1766.28,0.93094,0.45377,0.78704,0.89447,0.56843,0.73757,0.57335,0.87001,0.46365,0.78127,0.001142,0.001142,0.001142
132,1782.68,0.92216,0.44512,0.78583,0.89655,0.56931,0.73652,0.57255,0.85689,0.45562,0.78063,0.0011354,0.0011354,0.0011354
133,1798.7,0.9238,0.44321,0.78549,0.89939,0.5703,0.74441,0.57789,0.88503,0.47076,0.78182,0.0011288,0.0011288,0.0011288
134,1811.3,0.89003,0.42307,0.78453,0.89292,0.56833,0.73009,0.56918,0.87708,0.49342,0.78153,0.0011222,0.0011222,0.0011222
135,1824.95,0.918,0.4457,0.78587,0.89176,0.5667,0.71343,0.559,0.86561,0.51334,0.78046,0.0011156,0.0011156,0.0011156
136,1839.78,0.93818,0.44415,0.78556,0.89644,0.56733,0.73316,0.57563,0.84535,0.46339,0.78127,0.001109,0.001109,0.001109
